,RegistrationDate,BirthYear,EnrollmentStatus,CumLoanAtEntry,EngPlacement,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,CompleteCIP1,TermGPA,CumGPA,Parent Adjusted Gross Income,Total Scholarship,Total Grant,Total Loan,Dropout
51,20140408,1978,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,4.0,3.3,0.0,0.0,9823.0,23000.0,0
52,20141216,1980,1,-2,1,0.0,0.0,13.1209,-1.0,0.0,-2.0,2.5,2.765,0.0,0.0,25164.0,19500.0,0
53,20121212,1980,1,-2,1,0.0,0.0,45.1101,-1.0,0.0,-2.0,0.0,1.15,0.0,0.0,2125.0,2500.0,1
54,20111122,1963,2,-1,0,-2.0,-2.0,30.073400000000003,-1.0,0.0,-2.0,2.983333333333333,2.853333333333333,0.0,0.0,6745.0,26500.0,0
55,20140115,1980,2,-1,1,0.0,0.0,0.0,-1.0,0.0,-2.0,1.5,2.0,0.0,0.0,6058.0,0.0,1
56,20130122,1986,2,-1,0,-2.0,-2.0,26.0101,-1.0,7.0,26.0101,2.0,2.66,0.0,0.0,0.0,26500.0,0
57,20120712,1986,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.0,3.31,0.0,0.0,11040.0,0.0,0
58,20140829,1995,2,-1,0,-2.0,-2.0,52.0801,-1.0,0.0,-2.0,4.0,2.9,47131.0,0.0,9767.0,4400.0,0
59,20121211,1976,2,-1,0,-2.0,-2.0,50.0701,13.1209,0.0,-2.0,3.35,3.62,0.0,0.0,5759.0,0.0,1
60,20111219,1985,2,-1,0,-2.0,-2.0,42.0101,-1.0,7.0,42.0101,4.0,3.21,0.0,0.0,0.0,0.0,0
61,20150109,1986,2,-1,0,-2.0,-2.0,26.0101,-1.0,0.0,-2.0,2.65,2.695,0.0,0.0,14116.0,23500.0,0
62,20130110,1986,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,3.25,3.68,0.0,0.0,4395.0,23750.0,0
63,20130611,1986,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.7,3.6,0.0,0.0,9943.0,22435.0,0
64,20111219,1977,1,-2,1,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,1.57,0.0,0.0,9262.0,12000.0,1
65,20111213,1985,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.15,2.74,0.0,0.0,4097.0,33000.0,1
66,20150107,1987,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,0.0,3.0,0.0,0.0,18502.0,12253.0,1
67,20120110,1984,2,-1,0,-2.0,-2.0,43.0399,-1.0,0.0,-2.0,4.0,3.56,0.0,0.0,14844.0,0.0,0
68,20120503,1987,2,-1,0,-2.0,-2.0,42.0101,13.1209,0.0,-2.0,3.825,3.88,0.0,250.0,32461.0,10660.0,0
69,20130118,1985,2,-1,0,-2.0,-2.0,45.1101,13.1202,0.0,-2.0,3.575,3.22,0.0,0.0,35774.0,16000.0,0
70,20130109,1975,2,-1,0,-2.0,-2.0,43.0203,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,2775.0,0.0,1
71,20120814,1979,2,-1,0,-2.0,-2.0,42.0101,6.06045,0.0,-2.0,4.0,3.33,0.0,0.0,18568.0,28500.0,0
72,20120712,1987,2,-1,0,-2.0,-2.0,43.0399,-1.0,8.0,43.0399,3.22,3.48,0.0,0.0,1200.0,0.0,0
73,20111212,1985,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,1.5,1.46,0.0,0.0,3670.0,5500.0,1
74,20140107,1987,2,-1,0,-2.0,-2.0,20.065150000000006,6.0601,0.0,-2.0,3.3,3.415,0.0,2663.0,22032.0,26571.0,0
75,20120731,1987,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.57,3.27,0.0,0.0,0.0,12500.0,0
76,20120110,1988,2,-1,0,-2.0,-2.0,45.1101,-1.0,0.0,-2.0,2.5,1.95,9532.0,0.0,6966.0,18000.0,1
77,20130702,1986,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.825,2.865,0.0,0.0,0.0,32554.0,0
78,20160826,1988,2,-1,0,-2.0,-2.0,52.0301,-1.0,0.0,-2.0,3.7,3.66,0.0,0.0,0.0,0.0,0
79,20120104,1987,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,3.65,3.46,0.0,0.0,19260.0,20592.0,0
80,20120626,1987,2,-1,0,-2.0,-2.0,54.0101,-1.0,7.0,54.0101,4.0,3.31,0.0,0.0,7039.0,8250.0,0
81,20120822,1987,2,-1,0,-2.0,-2.0,27.0101,-1.0,3.5,12.50505,3.55,3.26,0.0,0.0,11131.0,8849.0,0
82,20120820,1992,1,-2,1,0.0,0.0,0.0,-1.0,0.0,-2.0,2.175,2.245,26420.0,0.0,33819.0,11335.0,1
83,20111215,1987,2,-1,0,-2.0,-2.0,43.0399,-1.0,0.0,-2.0,3.3,3.91,34862.0,0.0,6773.0,18500.0,0
84,20140609,1985,2,-1,0,-2.0,-2.0,52.0251,-1.0,0.0,-2.0,4.0,3.99,0.0,8198.0,21193.0,9250.0,0
85,20120712,1982,2,-1,0,-2.0,-2.0,30.00505,-1.0,0.0,-2.0,3.5,3.31,0.0,0.0,5300.0,34500.0,1
86,20140408,1986,2,-1,0,-2.0,-2.0,27.0101,-1.0,0.0,-2.0,2.0,3.05,0.0,0.0,16822.0,12500.0,0
87,20110128,1988,2,-1,0,-2.0,-2.0,45.1101,13.1209,7.0,45.1101,4.0,3.1,0.0,0.0,13484.0,28250.0,0
88,20120529,1994,1,-2,1,0.0,0.0,16.010099999999998,-1.0,0.0,-2.0,3.9,3.2,64100.0,0.0,0.0,0.0,0
89,20120705,1986,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.0,2.84,0.0,0.0,24609.5,28388.0,1
90,20140812,1989,2,-1,0,-2.0,-2.0,42.0101,43.0199,7.0,42.0101,3.3,2.61,0.0,0.0,28530.0,0.0,0
91,20120731,1989,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,4.0,3.97,224422.0,0.0,0.0,22896.0,0
92,20140902,1986,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,3.3,2.93,0.0,0.0,0.0,27250.0,0
93,20130903,1989,2,-1,0,-2.0,-2.0,42.0101,-1.0,7.0,42.0101,4.0,3.4,0.0,0.0,6861.84,26750.0,0
94,20140812,1987,1,-2,0,0.0,-2.0,42.0101,-1.0,0.0,-2.0,3.7,3.28,0.0,0.0,36103.0,11000.0,0
95,20150420,1988,2,-1,0,-2.0,-2.0,42.0101,13.1209,0.0,-2.0,4.0,3.77,0.0,0.0,15571.0,9500.0,0
96,20120124,1989,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,4.0,3.44,0.0,0.0,25025.0,0.0,0
97,20160824,1986,2,-1,0,-2.0,-2.0,45.1101,-1.0,0.0,-2.0,3.7,3.52,0.0,0.0,0.0,12500.0,0
98,20111126,1990,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,2.7,2.35,13916.0,0.0,13713.0,17250.0,1
99,20160720,1990,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.84,3.58,0.0,0.0,0.0,0.0,0
100,20130716,1988,2,-1,0,-2.0,-2.0,51.0,-1.0,0.0,-2.0,3.0,3.06,0.0,0.0,22623.0,2750.0,0
101,20140117,1989,2,-1,0,-2.0,-2.0,45.1101,13.1209,0.0,-2.0,3.5,3.245,0.0,3199.9,17511.0,19250.0,0
102,20120731,1986,2,-1,0,-2.0,-2.0,43.0199,-1.0,8.0,43.0199,4.0,3.62,0.0,0.0,4870.0,24742.0,0
103,20130514,1990,2,-1,0,-2.0,-2.0,52.0301,-1.0,4.0,25.01505,3.35,3.26,0.0,0.0,0.0,27500.0,0
104,20120808,1988,2,-1,1,-2.0,0.0,23.0101,-1.0,0.0,-2.0,1.85,1.5,25743.0,0.0,7167.0,20626.0,1
105,20140611,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,3.65,3.55,0.0,1750.0,10442.0,0.0,0
106,20130725,1989,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.9,3.64,0.0,4000.0,0.0,29000.0,0
107,20120426,1989,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,4.0,3.63,0.0,0.0,0.0,5500.0,0
108,20120614,1989,2,-1,0,-2.0,-2.0,52.0801,-1.0,0.0,-2.0,2.65,2.63,0.0,0.0,32556.0,0.0,1
109,20130521,1989,2,-1,0,-2.0,-2.0,52.0301,-1.0,8.0,52.0301,2.7,3.16,0.0,0.0,5005.0,10000.0,0
110,20150107,1989,2,-1,0,-2.0,-2.0,43.0199,-1.0,4.0,20.50995,2.925,2.775,0.0,0.0,15335.0,21531.0,0
111,20140123,1989,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,0.0,2.38,0.0,0.0,6001.0,0.0,1
112,20120619,1989,2,-1,0,-2.0,-2.0,52.0301,-1.0,0.0,-2.0,0.0,3.07,92224.0,0.0,0.0,33002.0,1
113,20140107,1989,2,-1,0,-2.0,-2.0,45.1101,13.1202,0.0,-2.0,3.3,3.62,42368.0,0.0,0.0,28000.0,0
114,20120117,1989,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,3.35,2.9,34245.0,0.0,5819.0,27500.0,0
115,20121211,1989,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.0,3.3,88642.0,0.0,23299.0,38000.0,0
116,20111216,1989,2,-1,0,-2.0,-2.0,34.68673333333333,-1.0,2.6666666666666665,16.010033333333332,2.6833333333333336,2.5733333333333333,32999.0,0.0,18615.0,21550.0,0
117,20160629,1989,1,-2,0,0.0,-2.0,13.1209,-1.0,0.0,-2.0,1.7,2.26,0.0,0.0,11402.0,3500.0,0
118,20120108,1984,2,-1,0,-2.0,-2.0,51.3801,-1.0,4.0,24.69005,2.925,3.185,0.0,0.0,0.0,25756.0,0
119,20120802,1988,2,-1,0,-2.0,-2.0,23.0101,-1.0,0.0,-2.0,1.15,3.085,0.0,0.0,8445.0,18000.0,1
120,20130118,1988,2,-1,0,-2.0,-2.0,0.0,-1.0,0.0,-2.0,2.0,2.31,0.0,0.0,29197.0,11239.0,0
121,20120522,1989,2,-1,0,-2.0,-2.0,16.0905,-1.0,0.0,-2.0,3.15,3.285,0.0,0.0,12904.0,27500.0,0
122,20130821,1975,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,2.0,3.17,0.0,0.0,0.0,26500.0,0
123,20120626,1984,2,-1,0,-2.0,-2.0,23.0101,-1.0,0.0,-2.0,4.0,3.92,0.0,5000.0,0.0,18500.0,0
124,20120629,1986,2,-1,0,-2.0,-2.0,26.0101,-1.0,0.0,-2.0,4.0,2.48,0.0,0.0,0.0,19184.0,0
125,20140509,1991,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.77,3.72,28516.0,0.0,0.0,5500.0,0
126,20120109,1989,2,-1,0,-2.0,-2.0,45.1101,-1.0,0.0,-2.0,0.0,2.0,18044.0,0.0,16483.0,28750.0,1
127,20130723,1966,2,-1,0,-2.0,-2.0,52.0301,-1.0,0.0,-2.0,2.0,2.3,0.0,0.0,0.0,12500.0,1
128,20141024,1989,2,-1,0,-2.0,-2.0,26.0101,-1.0,7.0,26.0101,3.0,2.42,0.0,0.0,5218.0,17750.0,1
129,20120117,1989,2,-1,1,0.0,0.0,47.0151,-1.0,0.0,-2.0,3.925,2.915,13084.0,0.0,6189.0,22987.0,1
130,20130118,1990,2,-1,0,-2.0,-2.0,26.0101,-1.0,3.5,12.00505,3.85,2.87,0.0,1000.0,19978.0,16000.0,0
131,20130626,1990,2,-1,1,0.0,0.0,43.0199,-1.0,0.0,-2.0,4.0,3.83,25404.0,13653.3,8966.0,4003.0,0
132,20130128,1989,2,-1,1,0.0,0.0,26.0101,-1.0,0.0,-2.0,0.0,1.0,26193.0,0.0,1985.0,3750.0,1
133,20150731,1989,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,3.7,3.3,0.0,0.0,16807.0,1000.0,0
134,20130905,1990,2,-1,0,-2.0,-2.0,54.0101,-1.0,0.0,-2.0,1.5,2.3600000000000003,39582.0,0.0,15653.0,16111.0,0
135,20130819,1990,2,-1,0,-2.0,-2.0,26.0101,-1.0,7.0,26.0101,2.73,2.47,42937.0,0.0,12385.0,18000.0,0
136,20120712,1990,2,-1,0,-2.0,-2.0,42.0101,6.06045,0.0,-2.0,3.925,3.345,0.0,0.0,47189.0,0.0,0
137,20150115,1986,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,4.0,3.85,0.0,0.0,0.0,0.0,0
138,20130827,1990,2,-1,0,-2.0,-2.0,14.339966666666667,-1.0,2.6666666666666665,13.006633333333331,2.0500000000000003,2.38,16200.0,0.0,27700.0,41500.0,0
139,20151123,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.7,3.81,0.0,0.0,7572.0,0.0,0
140,20140707,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,3.7,3.57,72831.0,5000.0,11294.0,0.0,0
141,20120725,1990,2,-1,0,-2.0,-2.0,26.010100000000005,-1.0,2.333333333333333,7.3367,2.766666666666667,2.6566666666666667,17560.0,0.0,31022.0,25139.0,0
142,20150619,1990,2,-1,0,-2.0,-2.0,43.0399,-1.0,0.0,-2.0,3.3,3.515,0.0,0.0,0.0,24000.0,0
143,20120813,1983,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.0,2.97,0.0,0.0,0.0,18000.0,1
144,20150112,1990,2,-1,0,-2.0,-2.0,52.0801,-1.0,8.0,52.0801,3.7,3.25,29047.0,0.0,4128.0,0.0,0
145,20120726,1990,2,-1,0,-2.0,-2.0,43.0199,-1.0,4.0,20.50995,2.5,2.805,55165.0,0.0,18775.0,15000.0,0
146,20121221,1990,1,-2,1,0.0,0.0,38.0101,-1.0,7.0,38.0101,3.85,3.71,0.0,0.0,28276.0,29500.0,0
147,20130125,1990,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.58,3.12,34106.0,0.0,0.0,36200.0,1
148,20111215,1987,2,-1,0,-2.0,-2.0,27.0101,-1.0,0.0,-2.0,3.675,3.375,0.0,0.0,10011.77,28500.0,0
149,20140708,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.72,3.73,77568.0,1500.0,8512.0,0.0,0
150,20110122,1989,2,-1,0,-2.0,-2.0,52.0301,-1.0,0.0,-2.0,3.0,3.24,24815.0,0.0,21027.0,5500.0,0
151,20150702,1988,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.57,3.77,0.0,0.0,0.0,12500.0,0
152,20120626,1973,2,-1,0,-2.0,-2.0,54.0101,-1.0,0.0,-2.0,0.0,2.75,0.0,0.0,0.0,42000.0,0
153,20130711,1963,2,-1,0,-2.0,-2.0,54.0101,-1.0,0.0,-2.0,3.5,3.045,0.0,0.0,20282.0,43500.0,0
154,20140107,1989,2,-1,0,-2.0,-2.0,51.0,-1.0,0.0,-2.0,3.6,3.365,0.0,0.0,7285.0,46933.0,0
155,20120424,1992,2,-1,0,-2.0,-2.0,52.0301,-1.0,8.0,52.0301,3.72,3.36,72556.0,8000.0,7816.0,0.0,0
156,20150417,1991,2,-1,0,-2.0,-2.0,-1.0,-1.0,0.0,-2.0,3.7,3.7,0.0,0.0,11590.0,20000.0,0
157,20120718,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,2.3,2.87,0.0,0.0,6256.0,12500.0,1
158,20141119,1991,2,-1,0,-2.0,-2.0,51.0,-1.0,8.0,51.0,0.0,3.82,43823.0,0.0,2425.0,28500.0,0
159,20140722,1986,2,-1,0,-2.0,-2.0,43.0199,-1.0,4.0,20.50995,3.85,3.12,0.0,0.0,7158.0,25000.0,0
160,20140722,1978,2,-1,0,-2.0,-2.0,45.1101,13.1209,0.0,-2.0,3.3,2.96,0.0,0.0,13025.0,20402.0,0
161,20120801,1988,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,2.7,2.92,37943.0,0.0,9078.0,12750.0,0
162,20120809,1986,2,-1,0,0.0,-2.0,13.1209,-1.0,0.0,-2.0,0.0,1.87,0.0,0.0,2809.0,30861.0,1
163,20160107,1989,1,-2,1,0.0,0.0,45.0601,-1.0,0.0,-2.0,3.3,3.58,0.0,0.0,5084.0,19000.0,0
164,20140731,1980,2,-1,0,-2.0,-2.0,45.1101,-1.0,0.0,-2.0,4.0,3.62,0.0,0.0,0.0,29687.0,0
165,20120628,1990,1,-2,1,1.0,0.0,11.0101,-1.0,0.0,-2.0,1.7,0.0,0.0,0.0,6796.2,7500.0,1
166,20110113,1991,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,4.0,3.99,41621.0,0.0,21734.0,0.0,0
167,20110113,1991,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,4.0,3.43,8581.0,0.0,35222.0,4500.0,0
168,20120711,1990,2,-1,0,-2.0,-2.0,26.0101,-1.0,0.0,-2.0,2.725,2.49,10742.0,0.0,26318.0,0.0,0
169,20150707,1991,2,-1,1,0.0,0.0,42.0101,13.1209,0.0,-2.0,4.0,3.33,115083.0,8000.0,14322.0,14932.0,0
170,20130904,1990,2,-1,0,-2.0,-2.0,52.02009999999999,-1.0,0.0,-2.0,0.0,0.8866666666666667,23136.0,0.0,13452.0,0.0,0
171,20140123,1991,2,-1,0,-2.0,-2.0,52.0801,-1.0,0.0,-2.0,2.3,3.2,98568.0,0.0,1463.0,26562.0,0
172,20120830,1987,2,-1,0,-2.0,-2.0,52.0301,-1.0,0.0,-2.0,3.425,3.02,0.0,0.0,30121.0,0.0,0
173,20130803,1989,2,-1,0,-2.0,-2.0,27.0101,-1.0,0.0,-2.0,3.5,3.19,0.0,0.0,29164.0,5500.0,0
174,20160705,1991,2,-1,0,-2.0,-2.0,51.0999,-1.0,0.0,-2.0,3.0,1.12,0.0,0.0,1452.0,10500.0,0
175,20150120,1990,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,4.0,3.61,0.0,0.0,15406.92,26964.0,0
176,20120621,1977,2,-1,0,-2.0,-2.0,52.0801,-1.0,0.0,-2.0,3.35,3.4,0.0,0.0,0.0,15750.0,0
177,20130111,1991,2,-1,1,0.0,0.0,22.380366666666664,-1.0,0.0,-2.0,2.766666666666667,2.89,38843.0,0.0,12045.0,40188.0,0
178,20130530,1991,2,-1,0,-2.0,-2.0,45.1101,13.1209,7.0,45.1101,4.0,2.95,8929.0,0.0,11270.0,18500.0,0
179,20120109,1990,2,-1,0,-2.0,-2.0,9.0101,-1.0,0.0,-2.0,3.7,3.2,33106.0,0.0,2275.0,25240.0,0
180,20121112,1981,2,-1,0,-2.0,-2.0,26.0101,-1.0,0.0,-2.0,1.65,0.66,0.0,0.0,0.0,2850.0,1
181,20130828,1991,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,4.0,3.7,11450.0,8200.0,16913.0,2117.0,0
182,20141117,1991,2,-1,0,-2.0,-2.0,50.0901,-1.0,0.0,-2.0,3.515,3.4,170414.0,0.0,23580.0,0.0,0
183,20140708,1987,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.8,3.71,0.0,1000.0,0.0,22000.0,0
184,20120821,1991,2,-1,0,-2.0,-2.0,52.0201,-1.0,8.0,52.0201,4.0,2.87,25213.0,0.0,23436.0,33000.0,0
185,20140520,1990,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.85,2.94,15407.0,0.0,17069.0,16877.0,0
186,20130117,1991,2,-1,0,-2.0,-2.0,54.0101,13.1209,0.0,-2.0,4.0,3.46,103766.0,0.0,0.0,55130.0,0
