StudentID,Zip,RegistrationDate,Gender,BirthYear,Hispanic,AmericanIndian,Asian,Black,NativeHawaiian,White,TwoOrMoreRace,HSDip,HSDipYr,HSGPAWtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,Total Scholarship,Total Work Study,Total Grant,Total Loan,Dropout
43422,7104.0,20130427,1,1970,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,94.5,66.0,-1,2,0,0,0,0,-2.0,-2.0,54.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.0,1,28209.0,0.0,3,2,2,0.0,0.0,14565.0,30250.0,0
44372,7305.0,20130614,1,1992,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,80.0,64.0,-1,2,0,0,0,0,-2.0,-2.0,43.0199,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.75,1,5299.0,205799.0,3,3,2,0.0,0.0,0.0,10500.0,1
44496,7305.0,20130702,2,1995,1,0,0,0,0,0,0,1,2013,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,1,0,0.0,0.0,27.010100000000005,8.400066666666666,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.333333333333333,2.876666666666667,1,0.0,88212.0,3,3,3,0.0,0.0,0.0,14500.0,0
52248,7304.0,20130814,1,1970,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,87.0,66.0,-1,2,0,0,0,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3,2.31,1,21426.0,0.0,3,2,2,0.0,0.0,14447.51,0.0,0
63766,7307.0,20160420,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,56.0,59.0,-1,2,0,0,0,0,-2.0,-2.0,16.0905,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3,3.02,1,37044.0,0.0,3,3,2,0.0,0.0,5370.0,5500.0,0
64083,7305.0,20140121,2,1981,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,61.0,40.0,-1,0,0,0,0,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.2,3.24,2,3800.0,0.0,2,2,2,0.0,0.0,20343.0,37680.0,0
64199,7087.0,20120731,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,4.0,3.84,2,74597.0,0.0,2,2,2,0.0,0.0,0.0,12500.0,0
65066,7087.0,20120712,2,1984,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,89.0,76.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,4.0,0.0,24.69005,-2.0,-1.0,6.0,3.85,3.43,1,71870.0,0.0,2,3,1,0.0,0.0,0.0,20000.0,0
65687,7305.0,20130723,2,1965,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,68.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.7,2.93,2,57895.0,0.0,2,2,2,10000.0,0.0,8765.0,16970.0,0
68466,7304.0,20120712,2,1994,0,0,0,1,0,0,0,1,-1,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,50.0701,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.2,3.285,1,0.0,54539.0,2,1,3,0.0,0.0,28643.0,0.0,1
70833,7305.0,20150119,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0.0,0.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,8.0,0.0,51.3801,-2.0,-1.0,6.0,3.28,3.07,2,73018.0,0.0,1,1,2,0.0,0.0,1260.0,8168.0,0
71631,7731.0,20130626,2,1980,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,107.0,76.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.62,2,99269.0,0.0,2,3,2,0.0,0.0,0.0,11597.0,1
72415,7087.0,20120104,1,1977,1,0,0,0,0,0,0,1,2001,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.5,3.07,1,2130.0,0.0,1,3,3,0.0,0.0,55043.0,56056.0,0
73122,7305.0,20130612,1,1984,1,0,0,0,0,0,0,1,2002,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,43.0203,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.11,1,5756.0,0.0,3,2,3,0.0,0.0,5645.0,0.0,1
73979,7305.0,20150723,1,1984,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,38.0,25.0,-1,0,1,0,0,0,0.0,-2.0,43.0203,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.0,3.82,4,62694.0,0.0,2,3,2,0.0,0.0,3765.0,20000.0,0
74206,7307.0,20121219,2,1985,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1.0,76.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.8,2.76,1,41310.0,0.0,3,2,2,0.0,0.0,1350.0,10500.0,1
75254,7002.0,20140708,1,1987,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,3.64,3.43,1,0.0,0.0,3,3,2,0.0,0.0,0.0,15700.0,0
76617,7305.0,20130826,2,1984,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,-1.0,79.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.35,3.32,1,0.0,0.0,2,3,3,0.0,0.0,11302.0,0.0,0
76749,7107.0,20121026,2,1983,1,0,0,0,0,0,0,1,2002,-1,-1,0,2,66.5,62.0,-1,2,1,1,0,0,0.0,0.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.35,2.65,1,35181.0,0.0,2,2,2,0.0,0.0,602.0,13250.0,0
78416,7660.0,20130725,1,1984,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,4.0,3.63,2,111497.0,0.0,3,3,2,0.0,0.0,0.0,33625.0,0
79832,7039.0,20140115,2,1979,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,103.0,78.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3,3.05,1,35597.0,0.0,3,2,2,0.0,0.0,1877.0,17750.0,0
79897,7304.0,20150112,2,1981,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,114.0,78.0,-1,2,0,0,0,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.0,1.92,1,28654.0,0.0,2,2,2,0.0,0.0,3507.0,16000.0,0
80454,7052.0,20140707,2,1985,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,-1.0,96.0,-1,3,0,0,0,0,-2.0,-2.0,51.3801,-1.0,8.0,0.0,51.3801,-2.0,-1.0,6.0,4.0,3.92,1,0.0,0.0,3,3,3,7000.0,0.0,0.0,3000.0,0
82601,7307.0,20120716,1,1994,1,0,0,0,0,0,0,1,2012,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,0,0,-2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.5,2.07,1,0.0,17187.0,2,2,1,0.0,0.0,17741.0,5500.0,1
82661,7002.0,20130820,2,1986,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,4.0,3.78,1,21929.0,0.0,2,3,3,5000.0,0.0,0.0,10000.0,0
82707,7304.0,20140408,1,1995,1,0,0,0,0,0,0,1,2014,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,43.0299,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.85,2.44,1,0.0,44945.0,1,3,3,0.0,0.0,8215.0,4500.0,0
82810,7305.0,20150428,2,1995,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,58.0,54.0,-1,0,0,0,0,0,-2.0,-2.0,23.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.0,3.26,1,0.0,22152.0,2,2,1,4000.0,4500.0,22296.0,0.0,0
84495,7002.0,20130626,2,1986,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,1,0,0.0,0.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.7,3.08,1,40174.0,0.0,2,2,2,250.0,0.0,15890.0,38000.0,0
84777,7030.0,20111215,1,1976,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,96.0,96.0,-1,2,0,0,0,0,-2.0,-2.0,43.0199,-1.0,8.0,0.0,43.0199,-2.0,-1.0,6.0,2.35,2.52,2,82826.0,0.0,2,1,2,0.0,0.0,2200.0,18250.0,0
88237,7305.0,20140424,2,1995,1,0,0,0,0,0,0,1,2013,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,1,-2.0,0.0,34.68006666666667,16.713366666666666,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3666666666666667,3.72,1,0.0,90803.0,3,3,3,17000.0,0.0,0.0,8500.0,0
88404,7306.0,20120109,2,1984,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,86.0,62.0,-1,2,0,0,0,0,-2.0,-2.0,43.0199,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,1.5,2.92,1,0.0,0.0,1,1,2,0.0,0.0,20228.0,27250.0,0
89559,7304.0,20130703,2,1985,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,134.0,89.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.7,3.94,2,76842.0,0.0,2,2,2,0.0,0.0,2817.0,14750.0,0
90757,7087.0,20120830,1,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,15.0,15.0,-1,0,0,0,0,0,-2.0,-2.0,27.00505,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.325,2.76,1,0.0,0.0,2,1,2,0.0,0.0,41116.0,69854.0,0
90921,7208.0,20120619,1,1985,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,65.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,9.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.85,3.955,1,22576.0,0.0,1,2,3,300.0,0.0,2555.0,28500.0,0
91158,7002.0,20120731,1,1984,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,3.9,3.91,1,68871.0,0.0,3,3,2,0.0,0.0,0.0,17500.0,0
93624,7305.0,20140612,1,1996,-1,-1,-1,-1,-1,-1,-1,1,2014,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,0,-2.0,-2.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.0,3.17,1,0.0,77010.0,3,3,3,5000.0,0.0,0.0,0.0,0
94180,7047.0,20120112,2,1957,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,95.0,87.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,4.0,0.0,24.69005,-2.0,-1.0,6.0,4.0,3.985,4,15131.0,0.0,2,1,2,2500.0,0.0,9234.0,0.0,0
94475,7305.0,20130612,2,1990,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,129.0,79.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,8.0,0.0,51.3801,-2.0,-1.0,6.0,3.7,3.94,1,0.0,109648.0,3,3,3,5000.0,0.0,0.0,16780.0,0
94834,7304.0,20120420,1,1994,0,0,0,1,0,0,0,1,2012,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,11.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3,1.87,1,0.0,38221.0,3,3,3,0.0,4000.0,29926.0,42941.0,0
95109,7503.0,20160720,2,1986,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,3.9,3.88,1,44429.0,0.0,3,3,2,1188.33,0.0,0.0,39500.0,0
100034,7093.0,20120717,2,1977,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,16.0905,-1.0,3.5,0.0,7.0452499999999985,-2.0,-1.0,6.0,3.15,2.71,2,22582.0,0.0,2,2,2,0.0,0.0,4700.0,25000.0,0
101541,7305.0,20140408,2,1978,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,70.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,43.0199,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.3,1,45848.0,0.0,2,2,2,0.0,0.0,9823.0,23000.0,0
102239,7305.0,20141216,2,1980,0,0,0,1,0,0,0,1,1998,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,0.0,0.0,13.1209,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.5,2.765,1,20278.0,0.0,2,2,2,0.0,2000.0,25164.0,19500.0,0
103021,7304.0,20121212,2,1980,0,0,0,1,0,0,0,1,1998,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,45.1101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,0.0,1.15,1,26650.0,0.0,1,1,2,0.0,0.0,2125.0,2500.0,1
104377,7087.0,20111122,2,1963,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,116.0,43.0,-1,0,0,0,0,0,-2.0,-2.0,30.073400000000003,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.983333333333333,2.853333333333333,1,0.0,0.0,2,1,2,0.0,2000.0,6745.0,26500.0,0
110104,7307.0,20140115,2,1980,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,16.0,16.0,-1,0,1,1,0,0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,1.5,2.0,2,28938.0,0.0,2,2,2,0.0,0.0,6058.0,0.0,1
124858,7040.0,20130122,2,1986,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,99.0,96.0,-1,0,0,0,0,0,-2.0,-2.0,26.0101,-1.0,7.0,0.0,26.0101,-2.0,-1.0,6.0,2.0,2.66,1,5895.0,0.0,3,3,3,0.0,0.0,0.0,26500.0,0
124916,7305.0,20120712,2,1986,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,107.0,96.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.0,3.31,1,2158.0,0.0,3,3,3,0.0,0.0,11040.0,0.0,0
200493,7305.0,20140829,2,1995,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,59.5,21.0,-1,0,0,0,1,0,-2.0,-2.0,52.0801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,2.9,1,1875.0,47131.0,2,1,3,0.0,0.0,9767.0,4400.0,0
202471,7304.0,20121211,2,1976,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,65.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,50.0701,13.1209,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.35,3.62,1,24940.0,0.0,2,2,2,0.0,0.0,5759.0,0.0,1
202558,7306.0,20111219,1,1985,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,87.0,70.0,-1,0,0,0,1,0,-2.0,-2.0,42.0101,-1.0,7.0,0.0,42.0101,-2.0,-1.0,6.0,4.0,3.21,1,66189.0,0.0,2,2,2,0.0,0.0,0.0,0.0,0
205000,7087.0,20150109,2,1986,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,131.0,88.0,-1,0,0,0,0,0,-2.0,-2.0,26.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.65,2.695,1,20125.0,0.0,2,3,2,0.0,0.0,14116.0,23500.0,0
205058,7093.0,20130110,2,1986,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,91.0,71.0,-1,0,0,0,0,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.25,3.68,1,15272.0,0.0,2,2,2,0.0,0.0,4395.0,23750.0,0
205066,7087.0,20130611,2,1986,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,76.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.7,3.6,1,34561.0,0.0,2,2,2,0.0,0.0,9943.0,22435.0,0
205106,7002.0,20111219,2,1977,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,0.0,1.57,1,21580.0,0.0,2,2,2,0.0,0.0,9262.0,12000.0,1
205131,7304.0,20111213,1,1985,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,66.0,66.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.15,2.74,1,20671.0,0.0,2,2,2,0.0,0.0,4097.0,33000.0,1
206557,7302.0,20150107,1,1987,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,52.0,51.0,-1,2,0,0,0,0,-2.0,-2.0,43.0199,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,0.0,3.0,1,6860.0,0.0,3,2,2,0.0,0.0,18502.0,12253.0,1
206589,7305.0,20120110,1,1984,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,0.0,0.0,-1,2,0,0,0,0,-2.0,-2.0,43.0399,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.56,1,24701.0,0.0,2,2,3,0.0,0.0,14844.0,0.0,0
207022,7030.0,20120503,2,1987,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,92.0,68.0,-1,0,0,0,0,0,-2.0,-2.0,42.0101,13.1209,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.825,3.88,1,5979.0,0.0,1,2,3,250.0,0.0,32461.0,10660.0,0
234162,7032.0,20130118,2,1985,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,48.0,63.0,-1,2,0,0,1,0,-2.0,-2.0,45.1101,13.1202,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.575,3.22,1,0.0,0.0,2,2,3,0.0,0.0,35774.0,16000.0,0
235052,7306.0,20130109,1,1975,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,52.5,32.0,-1,0,0,0,0,0,-2.0,-2.0,43.0203,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,0.0,0.0,1,9852.0,0.0,2,3,2,0.0,0.0,2775.0,0.0,1
236942,7306.0,20120814,2,1979,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,62.0,65.0,-1,2,0,0,0,0,-2.0,-2.0,42.0101,6.06045,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.33,2,21255.0,0.0,3,3,2,0.0,0.0,18568.0,28500.0,0
237475,7305.0,20120712,1,1987,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,149.0,91.0,-1,2,0,0,0,0,-2.0,-2.0,43.0399,-1.0,8.0,0.0,43.0399,-2.0,-1.0,6.0,3.22,3.48,1,24389.0,0.0,1,2,2,0.0,0.0,1200.0,0.0,0
239016,7306.0,20111212,1,1985,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,49.0,40.0,-1,0,0,0,1,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,1.5,1.46,1,0.0,0.0,3,3,2,0.0,0.0,3670.0,5500.0,1
240516,7093.0,20140107,2,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,108.0,90.0,-1,0,0,0,0,0,-2.0,-2.0,20.065150000000006,6.0601,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.3,3.415,3,13147.0,0.0,2,2,2,2663.0,0.0,22032.0,26571.0,0
240804,7306.0,20120731,2,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,-2.0,-2.0,51.3899,-1.0,8.0,0.0,51.3899,-2.0,-1.0,6.0,3.57,3.27,1,13268.0,0.0,1,2,3,0.0,0.0,0.0,12500.0,0
242757,7104.0,20120110,1,1988,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1.0,94.5,-1,0,0,0,0,0,-2.0,-2.0,45.1101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.5,1.95,1,16836.0,9532.0,2,2,2,0.0,0.0,6966.0,18000.0,1
243286,7002.0,20130702,2,1986,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,107.0,61.0,-1,2,0,0,0,0,-2.0,-2.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.825,2.865,2,79223.0,0.0,3,3,2,0.0,0.0,0.0,32554.0,0
243396,7305.0,20160826,1,1988,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,-1.0,96.0,-1,3,0,0,0,0,-2.0,-2.0,52.0301,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.7,3.66,1,28599.0,0.0,3,3,3,0.0,0.0,0.0,0.0,0
243497,7305.0,20120104,2,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,129.0,66.0,-1,0,0,0,0,0,-2.0,-2.0,52.0201,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.65,3.46,1,1258.0,0.0,1,2,3,0.0,750.0,19260.0,20592.0,0
243867,7304.0,20120626,2,1987,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,53.0,66.0,-1,2,0,0,0,0,-2.0,-2.0,54.0101,-1.0,7.0,0.0,54.0101,-2.0,-1.0,6.0,4.0,3.31,1,12500.0,0.0,2,2,2,0.0,0.0,7039.0,8250.0,0
244013,7093.0,20120822,1,1987,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,66.0,66.0,-1,0,0,0,1,0,-2.0,-2.0,27.0101,-1.0,3.5,0.0,12.50505,-2.0,-1.0,6.0,3.55,3.26,1,20951.0,0.0,1,1,2,0.0,0.0,11131.0,8849.0,0
